 Total battles: 1788363
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 26.96491% | 964461 | 26.965% | 827979 | 30.317% | 
 | 2    | Greninja-Ash       | 15.79970% | 565112 | 15.800% | 416072 | 15.235% | 
 | 3    | Heatran            | 15.66175% | 560178 | 15.662% | 463151 | 16.959% | 
 | 4    | Ferrothorn         | 15.07479% | 539184 | 15.075% | 456885 | 16.729% | 
 | 5    | Tapu Koko          | 14.82971% | 530418 | 14.830% | 420033 | 15.380% | 
 | 6    | Magearna           | 11.97528% | 428323 | 11.975% | 332468 | 12.174% | 
 | 7    | Kartana            | 11.68795% | 418046 | 11.688% | 304874 | 11.163% | 
 | 8    | Toxapex            |  9.84434% | 352105 |  9.844% | 272377 |  9.973% | 
 | 9    | Zygarde            |  9.75789% | 349013 |  9.758% | 254651 |  9.324% | 
 | 10   | Zapdos             |  9.23973% | 330480 |  9.240% | 260975 |  9.556% | 
 | 11   | Greninja           |  9.20960% | 329402 |  9.210% | 252791 |  9.256% | 
 | 12   | Gliscor            |  8.98819% | 321483 |  8.988% | 249277 |  9.128% | 
 | 13   | Garchomp           |  8.57709% | 306779 |  8.577% | 239210 |  8.759% | 
 | 14   | Tapu Lele          |  8.55503% | 305990 |  8.555% | 229976 |  8.421% | 
 | 15   | Chansey            |  8.13006% | 290790 |  8.130% | 219529 |  8.038% | 
 | 16   | Charizard-Mega-X   |  8.06956% | 288626 |  8.070% | 216733 |  7.936% | 
 | 17   | Serperior          |  7.75301% | 277304 |  7.753% | 201568 |  7.381% | 
 | 18   | Clefable           |  7.66114% | 274018 |  7.661% | 203330 |  7.445% | 
 | 19   | Excadrill          |  7.60877% | 272145 |  7.609% | 212613 |  7.785% | 
 | 20   | Tapu Bulu          |  7.54819% | 269978 |  7.548% | 207649 |  7.603% | 
 | 21   | Rotom-Wash         |  7.50600% | 268469 |  7.506% | 223662 |  8.190% | 
 | 22   | Tornadus-Therian   |  7.40420% | 264828 |  7.404% | 208894 |  7.649% | 
 | 23   | Volcarona          |  6.79423% | 243011 |  6.794% | 176046 |  6.446% | 
 | 24   | Scizor-Mega        |  6.39090% | 228585 |  6.391% | 176559 |  6.465% | 
 | 25   | Celesteela         |  6.25678% | 223788 |  6.257% | 176408 |  6.459% | 
 | 26   | Tangrowth          |  6.17596% | 220897 |  6.176% | 171154 |  6.267% | 
 | 27   | Alakazam-Mega      |  6.17442% | 220842 |  6.174% | 146287 |  5.356% | 
 | 28   | Mimikyu            |  6.06787% | 217031 |  6.068% | 151251 |  5.538% | 
